Aktivite,Tur,Enerji_Wh,CO2_Salinimi_Gram,Su_Tuketimi_mL,Kaynak
1 metin sorgusu (Gemini medyan),Metin,0.24,0.03,0.26,"Google 2025 - medyan metin promptu"
1 metin sorgusu (ChatGPT),Metin,0.30,0.04,1.11,"Epoch AI 2025"
1 metin sorgusu (uzun cevap ~1000 token),Metin,1.10,0.14,4.06,"Epoch AI 2025 - olcekleme"
1 gorsel uretimi (FLUX.1-schnell),Gorsel,0.50,0.06,1.85,"HF/CMU - AI Energy Score"
1 gorsel uretimi (SDXL),Gorsel,1.50,0.19,5.54,"Luccioni vd. 2024 - HF/CMU"
1 gorsel uretimi (buyuk difuzyon modeli),Gorsel,2.90,0.36,10.70,"ML.ENERGY Leaderboard"
1 Google aramasi,Dijital,0.30,0.20,0.50,"Google - yayinlanmis mertebe"
1 telefon tam sarji,Fiziksel,12.00,5.50,40.00,"Yayinlanmis mertebe (~12 Wh)"
1 saat LED ampul (10W),Fiziksel,10.00,4.50,33.00,"Mertebe hesabi"
1 bardak musluk suyu kaynatma,Fiziksel,100.00,40.00,250.00,"Mertebe hesabi"
1 kg cikolata uretimi,Fiziksel,5300.00,19000.00,17000000.00,"Our World in Data - Poore & Nemecek 2018"
1 bardak inek sutu (200ml),Fiziksel,260.00,600.00,125000.00,"Our World in Data - Poore & Nemecek 2018"
1 hamburger (siyir eti),Fiziksel,9700.00,33000.00,2350000.00,"Our World in Data - Poore & Nemecek 2018"
Model egitimi GPT-3 (175B),Egitim,1287000000.00,552000000.00,2640000000.00,"Patterson vd. 2021"
Model egitimi Llama ailesi (toplam),Egitim,2638000000.00,1015000000.00,5400000000.00,"Meta model kartlari"
Model egitimi BLOOM (176B),Egitim,433000000.00,25000000.00,890000000.00,"Luccioni vd. 2022 - JMLR"
